english_number,arabic_number,english_id,arabic_id,english_category,arabic_category,same_category,similarity_score,english_preview,arabic_preview
8,7,36,103,adaptation,adaptation,True,0.7595,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
1,3,1,81,policy,policy,True,0.7516,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
1,1,1,79,policy,policy,True,0.7375,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
4,4,11,86,science,science,True,0.7282,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
1,2,1,80,policy,policy,True,0.7225,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
5,5,12,87,science,science,True,0.714,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
3,3,3,81,policy,policy,True,0.6964,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
4,10,11,95,science,impact,False,0.6909,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
3,2,3,80,policy,policy,True,0.6803,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
6,4,13,86,science,science,True,0.6748,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
1,8,1,104,policy,adaptation,False,0.6745,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
3,8,3,104,policy,adaptation,False,0.6731,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
8,8,36,104,adaptation,adaptation,True,0.6678,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
5,4,12,86,science,science,True,0.6669,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
7,7,35,103,adaptation,adaptation,True,0.6622,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
1,9,1,94,policy,impact,False,0.6589,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
3,1,3,79,policy,policy,True,0.6579,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
1,7,1,103,policy,adaptation,False,0.6543,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
9,9,23,94,impact,impact,True,0.6537,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
2,3,2,81,policy,policy,True,0.6504,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
5,6,12,88,science,science,True,0.6492,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
1,4,1,86,policy,science,False,0.6465,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
1,10,1,95,policy,impact,False,0.642,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
2,2,2,80,policy,policy,True,0.6397,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
9,3,23,81,impact,policy,False,0.6382,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
2,7,2,103,policy,adaptation,False,0.6378,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
2,8,2,104,policy,adaptation,False,0.6358,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
5,10,12,95,science,impact,False,0.6341,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
1,6,1,88,policy,science,False,0.6337,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
10,4,24,86,impact,science,False,0.6317,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
6,5,13,87,science,science,True,0.6313,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
10,8,24,104,impact,adaptation,False,0.6298,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
10,1,24,79,impact,policy,False,0.6277,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
7,8,35,104,adaptation,adaptation,True,0.6264,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
10,10,24,95,impact,impact,True,0.6263,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
2,1,2,79,policy,policy,True,0.6246,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
3,7,3,103,policy,adaptation,False,0.6215,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
9,2,23,80,impact,policy,False,0.6175,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
10,3,24,81,impact,policy,False,0.6156,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
10,7,24,103,impact,adaptation,False,0.6134,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
9,8,23,104,impact,adaptation,False,0.6123,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
3,9,3,94,policy,impact,False,0.6113,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
10,2,24,80,impact,policy,False,0.6112,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
5,1,12,79,science,policy,False,0.6098,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
4,5,11,87,science,science,True,0.6091,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
6,1,13,79,science,policy,False,0.6088,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
8,6,36,88,adaptation,science,False,0.608,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
6,3,13,81,science,policy,False,0.606,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
9,1,23,79,impact,policy,False,0.6052,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
5,8,12,104,science,adaptation,False,0.6027,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
6,10,13,95,science,impact,False,0.6018,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
2,6,2,88,policy,science,False,0.6016,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
5,7,12,103,science,adaptation,False,0.5998,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
4,1,11,79,science,policy,False,0.5989,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
5,3,12,81,science,policy,False,0.5984,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
