heatmap_label,language,number,text_id,category,preview
EN1,en,1,1,policy,The IPCC released its Sixth Assessment R
EN2,en,2,2,policy,"At COP28 in Dubai, over 190 nations agre"
EN3,en,3,3,policy,The World Bank announced a $12.5 billion
EN4,en,4,11,science,Researchers at NASA's Goddard Institute 
EN5,en,5,12,science,A study published in Science in January 
EN6,en,6,13,science,The Arctic sea ice extent reached its si
EN7,en,7,35,adaptation,"Jordan's Disi Water Conveyance Project, "
EN8,en,8,36,adaptation,The Kingdom of Jordan inaugurated a 200-
EN9,en,9,23,impact,The Dead Sea has lost approximately one-
EN10,en,10,24,impact,Mediterranean wildfires in the summer of
AR1,ar,1,79,policy,أصدرت الهيئة الحكومية الدولية المعنية بت
AR2,ar,2,80,policy,وقّع الأردن اتفاقية شراكة مع البنك الدول
AR3,ar,3,81,policy,في مؤتمر الأطراف الثامن والعشرين المنعقد
AR4,ar,4,86,science,أكد باحثون في معهد غودارد لدراسات الفضاء
AR5,ar,5,87,science,كشفت دراسة نُشرت في مجلة ساينس أن الغطاء
AR6,ar,6,88,science,بلغ تركيز ثاني أكسيد الكربون في الغلاف ا
AR7,ar,7,103,adaptation,افتتحت المملكة الأردنية الهاشمية محطة طا
AR8,ar,8,104,adaptation,أطلقت مدينة عمّان خطة العمل المناخي في ع
AR9,ar,9,94,impact,فقد البحر الميت نحو ثلث مساحته السطحية م
AR10,ar,10,95,impact,شهدت عمّان صيفها الأكثر حرارة على الإطلا
