text_id,category,entity_text,entity_label,start_char,end_char,system
1,policy,IPCC,ORG,4,8,base_spacy
1,policy,Sixth Assessment Report,EVENT,22,45,base_spacy
1,policy,March 2023,DATE,49,59,base_spacy
1,policy,1.5 degrees,QUANTITY,107,118,base_spacy
1,policy,2030,DATE,158,162,base_spacy
1,policy,Antonio Guterres,PERSON,283,299,base_spacy
1,policy,COP,ORG,428,431,base_spacy
2,policy,Dubai,GPE,12,17,base_spacy
2,policy,190,CARDINAL,24,27,base_spacy
2,policy,The United Arab Emirates,GPE,99,123,base_spacy
2,policy,two weeks,DATE,159,168,base_spacy
2,policy,2030,DATE,271,275,base_spacy
3,policy,The World Bank,ORG,0,14,base_spacy
3,policy,$12.5 billion,MONEY,27,40,base_spacy
3,policy,June 2024,DATE,68,77,base_spacy
3,policy,Sub-Saharan Africa,ORG,111,129,base_spacy
3,policy,South Asia,LOC,134,144,base_spacy
3,policy,World Bank,ORG,276,286,base_spacy
3,policy,Ajay Banga,PERSON,297,307,base_spacy
4,policy,Jordan,GPE,0,6,base_spacy
4,policy,National Climate Change Policy,ORG,9,39,base_spacy
4,policy,2022,DATE,52,56,base_spacy
4,policy,31%,PERCENT,118,121,base_spacy
4,policy,2030,DATE,125,129,base_spacy
4,policy,The Ministry of Environment,ORG,266,293,base_spacy
4,policy,UNDP,ORG,339,343,base_spacy
4,policy,the European Union,ORG,348,366,base_spacy
5,policy,UNFCCC,ORG,0,6,base_spacy
5,policy,Simon Stiell,PERSON,27,39,base_spacy
5,policy,the Bonn Climate Change Conference,ORG,63,97,base_spacy
5,policy,June 2024,DATE,101,110,base_spacy
5,policy,the Paris Agreement,EVENT,187,206,base_spacy
5,policy,February 2025,DATE,281,294,base_spacy
6,policy,The European Union's,ORG,0,20,base_spacy
6,policy,Carbon Border Adjustment Mechanism,ORG,21,55,base_spacy
6,policy,October 2023,DATE,90,102,base_spacy
6,policy,EU,ORG,275,277,base_spacy
6,policy,January 2026,DATE,409,421,base_spacy
7,policy,September 2023,DATE,3,17,base_spacy
7,policy,the United Nations General Assembly,ORG,19,54,base_spacy
7,policy,the Climate Ambition Summit,ORG,62,89,base_spacy
7,policy,New York,GPE,93,101,base_spacy
7,policy,the Paris Agreement,EVENT,358,377,base_spacy
8,policy,FAO,ORG,0,3,base_spacy
8,policy,State of Food and Agriculture 2023,ORG,18,52,base_spacy
8,policy,735 million,CARDINAL,173,184,base_spacy
8,policy,2022,DATE,216,220,base_spacy
8,policy,FAO,ORG,296,299,base_spacy
8,policy,Qu Dongyu,PERSON,317,326,base_spacy
8,policy,$4 billion,MONEY,338,348,base_spacy
8,policy,annual,DATE,352,358,base_spacy
9,policy,The Green Climate Fund,ORG,0,22,base_spacy
9,policy,$1.2 billion,MONEY,32,44,base_spacy
9,policy,October 2023,DATE,79,91,base_spacy
9,policy,Songdo,GPE,109,115,base_spacy
9,policy,South Korea,GPE,117,128,base_spacy
9,policy,$150 million,MONEY,158,170,base_spacy
9,policy,Bangladesh,GPE,201,211,base_spacy
9,policy,$90 million,MONEY,215,226,base_spacy
9,policy,the Congo Basin,LOC,255,270,base_spacy
9,policy,$45 million,MONEY,278,289,base_spacy
9,policy,Jordan,GPE,316,322,base_spacy
9,policy,$12 billion,MONEY,356,367,base_spacy
10,policy,China,GPE,0,5,base_spacy
10,policy,Change Xie Zhenhua,PERSON,34,52,base_spacy
10,policy,US,GPE,62,64,base_spacy
10,policy,John Kerry,PERSON,79,89,base_spacy
10,policy,Sunnylands,GPE,93,103,base_spacy
10,policy,California,GPE,105,115,base_spacy
10,policy,November 2023,DATE,119,132,base_spacy
10,policy,the Paris Agreement,EVENT,221,240,base_spacy
11,science,NASA,ORG,15,19,base_spacy
11,science,Goddard Institute for Space Studies,ORG,22,57,base_spacy
11,science,2023,DATE,73,77,base_spacy
11,science,the warmest year,DATE,82,98,base_spacy
11,science,1.48 degrees Celsius,QUANTITY,143,163,base_spacy
11,science,1850-1900,DATE,174,183,base_spacy
11,science,El Nino,GPE,198,205,base_spacy
11,science,mid-2023,DATE,232,240,base_spacy
11,science,Southern Europe,LOC,311,326,base_spacy
11,science,North Africa,GPE,328,340,base_spacy
11,science,the Middle East,LOC,346,361,base_spacy
11,science,July 2023,DATE,363,372,base_spacy
11,science,the hottest month,DATE,377,394,base_spacy
12,science,Science,GPE,21,28,base_spacy
12,science,January 2024,DATE,32,44,base_spacy
12,science,the Greenland Ice Sheet,ORG,56,79,base_spacy
12,science,approximately 270 billion tonnes,QUANTITY,85,117,base_spacy
12,science,between 2006 and 2022,DATE,134,155,base_spacy
12,science,GRACE,ORG,213,218,base_spacy
12,science,GRACE-FO,ORG,223,231,base_spacy
12,science,approximately 0.7 millimeters,QUANTITY,286,315,base_spacy
12,science,2010,DATE,390,394,base_spacy
13,science,Arctic,LOC,4,10,base_spacy
13,science,sixth,ORDINAL,38,43,base_spacy
13,science,September 2023,DATE,70,84,base_spacy
13,science,the National Snow and Ice Data Center,ORG,99,136,base_spacy
13,science,Boulder,GPE,140,147,base_spacy
13,science,Colorado,GPE,149,157,base_spacy
13,science,15,CARDINAL,184,186,base_spacy
13,science,Arctic sea,LOC,194,204,base_spacy
13,science,the last 15 years,DATE,238,255,base_spacy
14,science,the Great Barrier Reef Foundation,FAC,21,54,base_spacy
14,science,fourth,ORDINAL,70,76,base_spacy
14,science,seven years,DATE,107,118,base_spacy
14,science,March 2024,DATE,126,136,base_spacy
14,science,2 degrees,QUANTITY,166,175,base_spacy
14,science,14 consecutive days,DATE,215,234,base_spacy
14,science,75%,PERCENT,259,262,base_spacy
14,science,"over 1,500",CARDINAL,320,330,base_spacy
14,science,400,CARDINAL,348,351,base_spacy
15,science,the Max Planck Institute for Meteorology,ORG,12,52,base_spacy
15,science,Nature Geoscience,WORK_OF_ART,75,92,base_spacy
15,science,the Atlantic Meridional Overturning Circulation,ORG,106,153,base_spacy
15,science,approximately 15%,PERCENT,170,187,base_spacy
15,science,1950,DATE,194,198,base_spacy
15,science,AMOC,ORG,204,208,base_spacy
15,science,the North Atlantic,LOC,251,269,base_spacy
15,science,Northern Europe,LOC,326,341,base_spacy
15,science,US,GPE,412,414,base_spacy
15,science,East Coast,LOC,415,425,base_spacy
16,science,Atmospheric CO2,PERSON,0,15,base_spacy
16,science,the Mauna Loa Observatory,FAC,34,59,base_spacy
16,science,Hawaii,GPE,63,69,base_spacy
16,science,424.0,CARDINAL,78,83,base_spacy
16,science,May 2024,DATE,105,113,base_spacy
16,science,NOAA,ORG,128,132,base_spacy
16,science,2.8,CARDINAL,152,155,base_spacy
16,science,the previous year,DATE,174,191,base_spacy
16,science,1958,DATE,260,264,base_spacy
16,science,approximately 50%,PERCENT,295,312,base_spacy
16,science,280,CARDINAL,353,356,base_spacy
17,science,the University of Leeds,ORG,17,40,base_spacy
17,science,227 billion tonnes,QUANTITY,99,117,base_spacy
17,science,2000-2009,DATE,134,143,base_spacy
17,science,298 billion tonnes,QUANTITY,154,172,base_spacy
17,science,2010-2019,DATE,185,194,base_spacy
17,science,Geophysical Research Letters,ORG,220,248,base_spacy
17,science,"217,175",CARDINAL,259,266,base_spacy
17,science,Himalayan,NORP,301,310,base_spacy
17,science,the early 2000s,DATE,366,381,base_spacy
17,science,1.9 billion,CARDINAL,414,425,base_spacy
18,science,The World Meteorological Organization,ORG,0,37,base_spacy
18,science,4.5 millimeters,QUANTITY,82,97,base_spacy
18,science,2023,DATE,101,105,base_spacy
18,science,annual,DATE,119,125,base_spacy
18,science,1993,DATE,168,172,base_spacy
18,science,approximately 40%,PERCENT,221,238,base_spacy
18,science,WMO,ORG,317,320,base_spacy
18,science,Celeste Saulo,PERSON,339,352,base_spacy
18,science,decades,DATE,417,424,base_spacy
19,science,the National Academy of Sciences,ORG,30,62,base_spacy
19,science,Siberia,LOC,93,100,base_spacy
19,science,Alaska,GPE,105,111,base_spacy
19,science,approximately 600 million tonnes,QUANTITY,121,153,base_spacy
19,science,CO2,PRODUCT,157,160,base_spacy
19,science,2022,DATE,175,179,base_spacy
19,science,80,CARDINAL,252,254,base_spacy
19,science,20-year,DATE,300,307,base_spacy
19,science,"roughly 1,500 billion tonnes",QUANTITY,374,402,base_spacy
20,science,the Potsdam Institute for Climate Impact Research,ORG,14,63,base_spacy
20,science,1.5 degree,QUANTITY,127,137,base_spacy
20,science,five,CARDINAL,175,179,base_spacy
20,science,the Greenland Ice Sheet,ORG,213,236,base_spacy
20,science,the West Antarctic Ice Sheet,LOC,238,266,base_spacy
20,science,the Atlantic Meridional Overturning Circulation,ORG,317,364,base_spacy
20,science,Science,GPE,393,400,base_spacy
20,science,September 2023,DATE,404,418,base_spacy
21,science,The European Space Agency's,ORG,0,27,base_spacy
21,science,Copernicus Climate Change Service,ORG,28,61,base_spacy
21,science,September 2023,DATE,76,90,base_spacy
21,science,1.75 degrees,QUANTITY,95,107,base_spacy
21,science,0.5 degrees,QUANTITY,190,201,base_spacy
21,science,El Nino,GPE,246,253,base_spacy
21,science,Saharan,GPE,263,270,base_spacy
21,science,Antarctic sea,LOC,301,314,base_spacy
21,science,Copernicus,ORG,327,337,base_spacy
21,science,Carlo Buontempo,PERSON,347,362,base_spacy
22,science,30%,PERCENT,37,40,base_spacy
