text_id,language,category,source,model,text_length_words,entity_count,has_entities
103,ar,adaptation,جريدة الأردن تايمز,spaCy:xx_ent_wiki_sm,44,0,False
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,44,5,True
111,ar,adaptation,خطة التكيف المناخي لسنغافورة,spaCy:xx_ent_wiki_sm,39,0,False
111,ar,adaptation,خطة التكيف المناخي لسنغافورة,HF:Davlan/xlm-roberta-base-wikiann-ner,39,1,True
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,spaCy:xx_ent_wiki_sm,45,2,True
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,45,4,True
153,ar,adaptation,تقرير الجمعية الملكية لحماية الطبيعة,spaCy:xx_ent_wiki_sm,51,1,True
153,ar,adaptation,تقرير الجمعية الملكية لحماية الطبيعة,HF:Davlan/xlm-roberta-base-wikiann-ner,51,4,True
163,ar,adaptation,تقرير الطاقة الإماراتي,spaCy:xx_ent_wiki_sm,49,0,False
163,ar,adaptation,تقرير الطاقة الإماراتي,HF:Davlan/xlm-roberta-base-wikiann-ner,49,5,True
94,ar,impact,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,spaCy:xx_ent_wiki_sm,51,0,False
94,ar,impact,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,51,2,True
95,ar,impact,جريدة الأردن تايمز,spaCy:xx_ent_wiki_sm,51,1,True
95,ar,impact,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,51,1,True
97,ar,impact,تقرير إسناد الطقس العالمي,spaCy:xx_ent_wiki_sm,43,1,True
97,ar,impact,تقرير إسناد الطقس العالمي,HF:Davlan/xlm-roberta-base-wikiann-ner,43,2,True
99,ar,impact,نشرة أبحاث المناخ الأفريقي,spaCy:xx_ent_wiki_sm,49,1,True
99,ar,impact,نشرة أبحاث المناخ الأفريقي,HF:Davlan/xlm-roberta-base-wikiann-ner,49,4,True
102,ar,impact,مرصد مناخ البحر الأبيض المتوسط,spaCy:xx_ent_wiki_sm,48,2,True
102,ar,impact,مرصد مناخ البحر الأبيض المتوسط,HF:Davlan/xlm-roberta-base-wikiann-ner,48,10,True
79,ar,policy,ملخص تقرير الهيئة الحكومية الدولية,spaCy:xx_ent_wiki_sm,56,1,True
79,ar,policy,ملخص تقرير الهيئة الحكومية الدولية,HF:Davlan/xlm-roberta-base-wikiann-ner,56,1,True
81,ar,policy,نشرة السياسات المناخية,spaCy:xx_ent_wiki_sm,48,0,False
81,ar,policy,نشرة السياسات المناخية,HF:Davlan/xlm-roberta-base-wikiann-ner,48,2,True
84,ar,policy,نشرة التنظيمات المناخية الأوروبية,spaCy:xx_ent_wiki_sm,44,2,True
84,ar,policy,نشرة التنظيمات المناخية الأوروبية,HF:Davlan/xlm-roberta-base-wikiann-ner,44,3,True
166,ar,policy,تقرير المنتدى العربي للبيئة والتنمية,spaCy:xx_ent_wiki_sm,43,0,False
166,ar,policy,تقرير المنتدى العربي للبيئة والتنمية,HF:Davlan/xlm-roberta-base-wikiann-ner,43,4,True
175,ar,policy,تقرير مؤتمر الرياض للمناخ,spaCy:xx_ent_wiki_sm,46,2,True
175,ar,policy,تقرير مؤتمر الرياض للمناخ,HF:Davlan/xlm-roberta-base-wikiann-ner,46,3,True
86,ar,science,مجلة نيتشر لتغير المناخ,spaCy:xx_ent_wiki_sm,51,1,True
86,ar,science,مجلة نيتشر لتغير المناخ,HF:Davlan/xlm-roberta-base-wikiann-ner,51,5,True
91,ar,science,تقرير حالة المناخ العالمي,spaCy:xx_ent_wiki_sm,47,0,False
91,ar,science,تقرير حالة المناخ العالمي,HF:Davlan/xlm-roberta-base-wikiann-ner,47,2,True
116,ar,science,التقرير المناخي للإدارة الوطنية للمحيطات,spaCy:xx_ent_wiki_sm,52,2,True
116,ar,science,التقرير المناخي للإدارة الوطنية للمحيطات,HF:Davlan/xlm-roberta-base-wikiann-ner,52,4,True
135,ar,science,تقرير المناخ الإقليمي,spaCy:xx_ent_wiki_sm,54,2,True
135,ar,science,تقرير المناخ الإقليمي,HF:Davlan/xlm-roberta-base-wikiann-ner,54,4,True
178,ar,science,تقرير حالة المناخ العالمي,spaCy:xx_ent_wiki_sm,46,2,True
178,ar,science,تقرير حالة المناخ العالمي,HF:Davlan/xlm-roberta-base-wikiann-ner,46,4,True
