text_id,language,category,source,model,entity_text,entity_label,start_char,end_char,score,text_length_words
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,المملكة الأردنية,LOC,7,23,0.6746382117271423,44
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,الهاشمية,ORG,24,32,0.7725579142570496,44
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,محطة طاقة شمسية,ORG,33,48,0.9709051251411438,44
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,المفرق,LOC,70,76,0.814307689666748,44
103,ar,adaptation,جريدة الأردن تايمز,HF:Davlan/xlm-roberta-base-wikiann-ner,الأردن,LOC,160,166,0.9993971586227417,44
111,ar,adaptation,خطة التكيف المناخي لسنغافورة,HF:Davlan/xlm-roberta-base-wikiann-ner,استراتيجية التكيف الوطنية لسنغافورة,ORG,6,41,0.9916536808013916,39
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,spaCy:xx_ent_wiki_sm,ويستهدف,PER,108,115,,45
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,spaCy:xx_ent_wiki_sm,درجات مئوية,PER,155,166,,45
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,مدينة المدينة المنورة,LOC,6,27,0.9996687173843384,45
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,التبريد الحضري,ORG,35,49,0.7160187363624573,45
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,منطقة الحج المركزية,ORG,170,189,0.7379713654518127,45
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,HF:Davlan/xlm-roberta-base-wikiann-ner,المملكة العربية السعودية,LOC,212,236,0.9993855953216553,45
153,ar,adaptation,تقرير الجمعية الملكية لحماية الطبيعة,spaCy:xx_ent_wiki_sm,ونجحت,PER,255,260,,51
