,EN1_policy_id1,EN2_policy_id2,EN3_policy_id3,EN4_science_id11,EN5_science_id12,EN6_science_id13,EN7_adaptation_id35,EN8_adaptation_id36,EN9_impact_id23,EN10_impact_id24,AR1_policy_id79,AR2_policy_id80,AR3_policy_id81,AR4_science_id86,AR5_science_id87,AR6_science_id88,AR7_adaptation_id103,AR8_adaptation_id104,AR9_impact_id94,AR10_impact_id95
EN1_policy_id1,1.0000001,0.84085953,0.8609993,0.716277,0.7302512,0.7065713,0.68501985,0.7363007,0.71014595,0.78009903,0.7374746,0.72247434,0.75162244,0.64652324,0.5892812,0.6337066,0.6542846,0.6744813,0.6589265,0.64200306
EN2_policy_id2,0.84085953,1.0000002,0.79305375,0.6523076,0.68103224,0.67215717,0.7676488,0.7804049,0.69813246,0.7356584,0.6245655,0.63965046,0.6503741,0.5455572,0.55014455,0.60158277,0.6378064,0.6357773,0.5699384,0.54411674
EN3_policy_id3,0.8609993,0.79305375,0.9999999,0.6995935,0.68723214,0.67260987,0.7412301,0.76700246,0.73393977,0.7908889,0.6579339,0.6803316,0.6964125,0.5856402,0.52650726,0.57747996,0.62146056,0.67313737,0.6113107,0.5768064
EN4_science_id11,0.716277,0.6523076,0.6995935,0.99999976,0.80497956,0.7617084,0.59376836,0.6326471,0.65274525,0.8022939,0.59887624,0.55194527,0.5574258,0.7282295,0.60906404,0.58101004,0.53657115,0.55630594,0.5379387,0.69093144
EN5_science_id12,0.7302512,0.68103224,0.68723214,0.80497956,1.0,0.77775615,0.67378634,0.66580844,0.7098381,0.7486453,0.6097773,0.5751649,0.59838676,0.6669498,0.71396774,0.6491761,0.5997881,0.60271925,0.5561431,0.634132
EN6_science_id13,0.7065713,0.67215717,0.67260987,0.7617084,0.77775615,1.0,0.6314258,0.606614,0.6851118,0.7143946,0.6087884,0.58190465,0.60596275,0.6747671,0.6312624,0.5880229,0.5483184,0.5675095,0.5651406,0.601838
EN7_adaptation_id35,0.68501985,0.7676488,0.7412301,0.59376836,0.67378634,0.6314258,0.9999999,0.8289337,0.7505401,0.6698254,0.5471978,0.58430874,0.56331325,0.48772153,0.5539266,0.595583,0.66224945,0.6263591,0.540182,0.4932257
EN8_adaptation_id36,0.7363007,0.7804049,0.76700246,0.6326471,0.66580844,0.606614,0.8289337,1.0000002,0.6614307,0.7464647,0.5886303,0.5952072,0.5701649,0.5547356,0.52218974,0.60804814,0.7594878,0.6677904,0.5220821,0.5430175
EN9_impact_id23,0.71014595,0.69813246,0.73393977,0.65274525,0.7098381,0.6851118,0.7505401,0.6614307,0.9999999,0.74928737,0.60521984,0.61746,0.6381723,0.53927517,0.58752215,0.57536733,0.56833243,0.61232305,0.65371454,0.59418327
EN10_impact_id24,0.78009903,0.7356584,0.7908889,0.8022939,0.7486453,0.7143946,0.6698254,0.7464647,0.74928737,1.0000001,0.62766695,0.6111599,0.6155913,0.6317035,0.56367415,0.59028953,0.61343706,0.6297806,0.5903063,0.6262801
AR1_policy_id79,0.7374746,0.6245655,0.6579339,0.59887624,0.6097773,0.6087884,0.5471978,0.5886303,0.60521984,0.62766695,1.0000001,0.9397119,0.9049153,0.783776,0.7804452,0.815928,0.7797954,0.8134856,0.9376241,0.79580104
AR2_policy_id80,0.72247434,0.63965046,0.6803316,0.55194527,0.5751649,0.58190465,0.58430874,0.5952072,0.61746,0.6111599,0.9397119,1.0000002,0.9306274,0.74089694,0.73942196,0.78590053,0.78215015,0.8321415,0.9322668,0.7618586
AR3_policy_id81,0.75162244,0.6503741,0.6964125,0.5574258,0.59838676,0.60596275,0.56331325,0.5701649,0.6381723,0.6155913,0.9049153,0.9306274,0.99999964,0.73815066,0.7315013,0.7806874,0.7526974,0.81584525,0.8955041,0.74893177
AR4_science_id86,0.64652324,0.5455572,0.5856402,0.7282295,0.6669498,0.6747671,0.48772153,0.5547356,0.53927517,0.6317035,0.783776,0.74089694,0.73815066,0.9999999,0.80205417,0.8094947,0.7519408,0.77205825,0.7277982,0.84571445
AR5_science_id87,0.5892812,0.55014455,0.52650726,0.60906404,0.71396774,0.6312624,0.5539266,0.52218974,0.58752215,0.56367415,0.7804452,0.73942196,0.7315013,0.80205417,1.0000002,0.87250113,0.7511623,0.77227694,0.7488407,0.8032247
AR6_science_id88,0.6337066,0.60158277,0.57747996,0.58101004,0.6491761,0.5880229,0.595583,0.60804814,0.57536733,0.59028953,0.815928,0.78590053,0.7806874,0.8094947,0.87250113,0.99999976,0.83231705,0.8417422,0.786757,0.8227675
AR7_adaptation_id103,0.6542846,0.6378064,0.62146056,0.53657115,0.5997881,0.5483184,0.66224945,0.7594878,0.56833243,0.61343706,0.7797954,0.78215015,0.7526974,0.7519408,0.7511623,0.83231705,1.0,0.8829963,0.7451217,0.7850944
AR8_adaptation_id104,0.6744813,0.6357773,0.67313737,0.55630594,0.60271925,0.5675095,0.6263591,0.6677904,0.61232305,0.6297806,0.8134856,0.8321415,0.81584525,0.77205825,0.77227694,0.8417422,0.8829963,1.0,0.7966751,0.8097286
AR9_impact_id94,0.6589265,0.5699384,0.6113107,0.5379387,0.5561431,0.5651406,0.540182,0.5220821,0.65371454,0.5903063,0.9376241,0.9322668,0.8955041,0.7277982,0.7488407,0.786757,0.7451217,0.7966751,0.99999994,0.7726384
AR10_impact_id95,0.64200306,0.54411674,0.5768064,0.69093144,0.634132,0.601838,0.4932257,0.5430175,0.59418327,0.6262801,0.79580104,0.7618586,0.74893177,0.84571445,0.8032247,0.8227675,0.7850944,0.8097286,0.7726384,1.0000002
