text_id,category,entity_text,entity_label,start_char,end_char,system
1,policy,IPCC,ORG,4,8,ruler_before_ner
1,policy,Sixth Assessment Report,REPORT,22,45,ruler_before_ner
1,policy,March 2023,DATE,49,59,ruler_before_ner
1,policy,1.5 degrees Celsius,THRESHOLD,107,126,ruler_before_ner
1,policy,2030,DATE,158,162,ruler_before_ner
1,policy,Antonio Guterres,PERSON,283,299,ruler_before_ner
1,policy,COP,ORG,428,431,ruler_before_ner
2,policy,COP28,CLIMATE_EVENT,3,8,ruler_before_ner
2,policy,Dubai,GPE,12,17,ruler_before_ner
2,policy,190,CARDINAL,24,27,ruler_before_ner
2,policy,The United Arab Emirates,GPE,99,123,ruler_before_ner
2,policy,two weeks,DATE,159,168,ruler_before_ner
2,policy,2030,DATE,271,275,ruler_before_ner
3,policy,The World Bank,ORG,0,14,ruler_before_ner
3,policy,$12.5 billion,MONEY,27,40,ruler_before_ner
3,policy,June 2024,DATE,68,77,ruler_before_ner
3,policy,Sub-Saharan Africa,ORG,111,129,ruler_before_ner
3,policy,South Asia,LOC,134,144,ruler_before_ner
3,policy,World Bank,ORG,276,286,ruler_before_ner
3,policy,Ajay Banga,PERSON,297,307,ruler_before_ner
4,policy,Jordan,GPE,0,6,ruler_before_ner
4,policy,National Climate Change Policy,ORG,9,39,ruler_before_ner
4,policy,2022,DATE,52,56,ruler_before_ner
4,policy,31%,PERCENT,118,121,ruler_before_ner
4,policy,2030,DATE,125,129,ruler_before_ner
4,policy,The Ministry of Environment,ORG,266,293,ruler_before_ner
4,policy,UNDP,ORG,339,343,ruler_before_ner
4,policy,the European Union,ORG,348,366,ruler_before_ner
5,policy,UNFCCC,ORG,0,6,ruler_before_ner
5,policy,Simon Stiell,PERSON,27,39,ruler_before_ner
5,policy,Bonn Climate Change Conference,CLIMATE_EVENT,67,97,ruler_before_ner
5,policy,June 2024,DATE,101,110,ruler_before_ner
5,policy,nationally determined contributions,POLICY,137,172,ruler_before_ner
5,policy,Paris Agreement,AGREEMENT,191,206,ruler_before_ner
5,policy,NDCs,POLICY,269,273,ruler_before_ner
5,policy,February 2025,DATE,281,294,ruler_before_ner
6,policy,The European Union's,ORG,0,20,ruler_before_ner
6,policy,Carbon Border Adjustment Mechanism,POLICY_MECHANISM,21,55,ruler_before_ner
6,policy,October 2023,DATE,90,102,ruler_before_ner
6,policy,EU,ORG,275,277,ruler_before_ner
6,policy,January 2026,DATE,409,421,ruler_before_ner
7,policy,September 2023,DATE,3,17,ruler_before_ner
7,policy,the United Nations General Assembly,ORG,19,54,ruler_before_ner
7,policy,Climate Ambition Summit,CLIMATE_EVENT,66,89,ruler_before_ner
7,policy,New York,GPE,93,101,ruler_before_ner
7,policy,Paris Agreement,AGREEMENT,362,377,ruler_before_ner
8,policy,FAO,ORG,0,3,ruler_before_ner
8,policy,State of Food and Agriculture 2023,ORG,18,52,ruler_before_ner
8,policy,735 million,CARDINAL,173,184,ruler_before_ner
8,policy,2022,DATE,216,220,ruler_before_ner
8,policy,FAO,ORG,296,299,ruler_before_ner
8,policy,Qu Dongyu,PERSON,317,326,ruler_before_ner
8,policy,$4 billion,MONEY,338,348,ruler_before_ner
8,policy,annual,DATE,352,358,ruler_before_ner
9,policy,Green Climate Fund,CLIMATE_FUND,4,22,ruler_before_ner
9,policy,$1.2 billion,MONEY,32,44,ruler_before_ner
9,policy,October 2023,DATE,79,91,ruler_before_ner
9,policy,Songdo,GPE,109,115,ruler_before_ner
9,policy,South Korea,GPE,117,128,ruler_before_ner
9,policy,$150 million,MONEY,158,170,ruler_before_ner
9,policy,Bangladesh,GPE,201,211,ruler_before_ner
9,policy,$90 million,MONEY,215,226,ruler_before_ner
9,policy,the Congo Basin,LOC,255,270,ruler_before_ner
9,policy,$45 million,MONEY,278,289,ruler_before_ner
9,policy,Jordan,GPE,316,322,ruler_before_ner
9,policy,$12 billion,MONEY,356,367,ruler_before_ner
10,policy,China,GPE,0,5,ruler_before_ner
10,policy,Change Xie Zhenhua,PERSON,34,52,ruler_before_ner
10,policy,US,GPE,62,64,ruler_before_ner
10,policy,John Kerry,PERSON,79,89,ruler_before_ner
10,policy,Sunnylands,GPE,93,103,ruler_before_ner
10,policy,California,GPE,105,115,ruler_before_ner
10,policy,November 2023,DATE,119,132,ruler_before_ner
10,policy,Paris Agreement,AGREEMENT,225,240,ruler_before_ner
10,policy,COP28,CLIMATE_EVENT,395,400,ruler_before_ner
11,science,NASA,ORG,15,19,ruler_before_ner
11,science,Goddard Institute for Space Studies,ORG,22,57,ruler_before_ner
11,science,2023,DATE,73,77,ruler_before_ner
11,science,the warmest year,DATE,82,98,ruler_before_ner
11,science,1.48 degrees Celsius,QUANTITY,143,163,ruler_before_ner
11,science,1850-1900,DATE,174,183,ruler_before_ner
11,science,El Nino,GPE,198,205,ruler_before_ner
11,science,mid-2023,DATE,232,240,ruler_before_ner
11,science,Southern Europe,LOC,311,326,ruler_before_ner
11,science,North Africa,GPE,328,340,ruler_before_ner
11,science,the Middle East,LOC,346,361,ruler_before_ner
11,science,July 2023,DATE,363,372,ruler_before_ner
11,science,the hottest month,DATE,377,394,ruler_before_ner
12,science,Science,GPE,21,28,ruler_before_ner
12,science,January 2024,DATE,32,44,ruler_before_ner
12,science,the Greenland Ice Sheet,ORG,56,79,ruler_before_ner
12,science,approximately 270 billion tonnes,QUANTITY,85,117,ruler_before_ner
12,science,between 2006 and 2022,DATE,134,155,ruler_before_ner
12,science,GRACE,ORG,213,218,ruler_before_ner
12,science,GRACE-FO,ORG,223,231,ruler_before_ner
12,science,approximately 0.7 millimeters,QUANTITY,286,315,ruler_before_ner
12,science,2010,DATE,390,394,ruler_before_ner
13,science,Arctic,LOC,4,10,ruler_before_ner
13,science,sixth,ORDINAL,38,43,ruler_before_ner
13,science,September 2023,DATE,70,84,ruler_before_ner
13,science,the National Snow and Ice Data Center,ORG,99,136,ruler_before_ner
13,science,Boulder,GPE,140,147,ruler_before_ner
13,science,Colorado,GPE,149,157,ruler_before_ner
13,science,15,CARDINAL,184,186,ruler_before_ner
13,science,Arctic sea,LOC,194,204,ruler_before_ner
13,science,the last 15 years,DATE,238,255,ruler_before_ner
14,science,the Great Barrier Reef Foundation,FAC,21,54,ruler_before_ner
14,science,fourth,ORDINAL,70,76,ruler_before_ner
14,science,seven years,DATE,107,118,ruler_before_ner
14,science,March 2024,DATE,126,136,ruler_before_ner
14,science,2 degrees,THRESHOLD,166,175,ruler_before_ner
14,science,14 consecutive days,DATE,215,234,ruler_before_ner
14,science,75%,PERCENT,259,262,ruler_before_ner
14,science,"over 1,500",CARDINAL,320,330,ruler_before_ner
14,science,400,CARDINAL,348,351,ruler_before_ner
15,science,the Max Planck Institute for Meteorology,ORG,12,52,ruler_before_ner
15,science,Nature Geoscience,WORK_OF_ART,75,92,ruler_before_ner
15,science,the Atlantic Meridional Overturning Circulation,ORG,106,153,ruler_before_ner
15,science,approximately 15%,PERCENT,170,187,ruler_before_ner
15,science,1950,DATE,194,198,ruler_before_ner
15,science,AMOC,ORG,204,208,ruler_before_ner
15,science,the North Atlantic,LOC,251,269,ruler_before_ner
15,science,Northern Europe,LOC,326,341,ruler_before_ner
15,science,US,GPE,412,414,ruler_before_ner
15,science,East Coast,LOC,415,425,ruler_before_ner
16,science,Atmospheric CO2,PERSON,0,15,ruler_before_ner
16,science,the Mauna Loa Observatory,FAC,34,59,ruler_before_ner
16,science,Hawaii,GPE,63,69,ruler_before_ner
16,science,424.0,CARDINAL,78,83,ruler_before_ner
16,science,May 2024,DATE,105,113,ruler_before_ner
16,science,NOAA,ORG,128,132,ruler_before_ner
16,science,2.8,CARDINAL,152,155,ruler_before_ner
16,science,the previous year,DATE,174,191,ruler_before_ner
16,science,1958,DATE,260,264,ruler_before_ner
16,science,approximately 50%,PERCENT,295,312,ruler_before_ner
16,science,280,CARDINAL,353,356,ruler_before_ner
17,science,the University of Leeds,ORG,17,40,ruler_before_ner
17,science,227 billion tonnes,QUANTITY,99,117,ruler_before_ner
17,science,2000-2009,DATE,134,143,ruler_before_ner
17,science,298 billion tonnes,QUANTITY,154,172,ruler_before_ner
17,science,2010-2019,DATE,185,194,ruler_before_ner
17,science,Geophysical Research Letters,ORG,220,248,ruler_before_ner
17,science,"217,175",CARDINAL,259,266,ruler_before_ner
17,science,Himalayan,NORP,301,310,ruler_before_ner
17,science,the early 2000s,DATE,366,381,ruler_before_ner
17,science,1.9 billion,CARDINAL,414,425,ruler_before_ner
18,science,The World Meteorological Organization,ORG,0,37,ruler_before_ner
18,science,4.5 millimeters,QUANTITY,82,97,ruler_before_ner
18,science,2023,DATE,101,105,ruler_before_ner
18,science,annual,DATE,119,125,ruler_before_ner
18,science,1993,DATE,168,172,ruler_before_ner
18,science,approximately 40%,PERCENT,221,238,ruler_before_ner
18,science,WMO,ORG,317,320,ruler_before_ner
18,science,Celeste Saulo,PERSON,339,352,ruler_before_ner
18,science,decades,DATE,417,424,ruler_before_ner
19,science,the National Academy of Sciences,ORG,30,62,ruler_before_ner
19,science,Siberia,LOC,93,100,ruler_before_ner
19,science,Alaska,GPE,105,111,ruler_before_ner
19,science,approximately 600 million tonnes,QUANTITY,121,153,ruler_before_ner
19,science,CO2,PRODUCT,157,160,ruler_before_ner
19,science,2022,DATE,175,179,ruler_before_ner
19,science,80,CARDINAL,252,254,ruler_before_ner
19,science,20-year,DATE,300,307,ruler_before_ner
19,science,"roughly 1,500 billion tonnes",QUANTITY,374,402,ruler_before_ner
20,science,the Potsdam Institute for Climate Impact Research,ORG,14,63,ruler_before_ner
20,science,1.5 degree,QUANTITY,127,137,ruler_before_ner
20,science,five,CARDINAL,175,179,ruler_before_ner
20,science,the Greenland Ice Sheet,ORG,213,236,ruler_before_ner
20,science,the West Antarctic Ice Sheet,LOC,238,266,ruler_before_ner
20,science,the Atlantic Meridional Overturning Circulation,ORG,317,364,ruler_before_ner
20,science,Science,GPE,393,400,ruler_before_ner
20,science,September 2023,DATE,404,418,ruler_before_ner
21,science,The European Space Agency's,ORG,0,27,ruler_before_ner
21,science,Copernicus Climate Change Service,ORG,28,61,ruler_before_ner
21,science,September 2023,DATE,76,90,ruler_before_ner
21,science,1.75 degrees,QUANTITY,95,107,ruler_before_ner
21,science,0.5 degrees,QUANTITY,190,201,ruler_before_ner
21,science,El Nino,GPE,246,253,ruler_before_ner
21,science,Saharan,GPE,263,270,ruler_before_ner
21,science,Antarctic sea,LOC,301,314,ruler_before_ner
21,science,Copernicus,ORG,327,337,ruler_before_ner
21,science,Carlo Buontempo,PERSON,347,362,ruler_before_ner
22,science,30%,PERCENT,37,40,ruler_before_ner
22,science,1800,DATE,47,51,ruler_before_ner
22,science,CO2,PRODUCT,85,88,ruler_before_ner
22,science,Annual Review of Marine Science,ORG,125,156,ruler_before_ner
22,science,8.1,CARDINAL,182,185,ruler_before_ner
22,science,8.2,CARDINAL,250,253,ruler_before_ner
22,science,the Southern Ocean,LOC,302,320,ruler_before_ner
22,science,Arctic,LOC,325,331,ruler_before_ner
23,impact,The Dead Sea,LOC,0,12,ruler_before_ner
23,impact,approximately one-third,CARDINAL,22,45,ruler_before_ner
23,impact,1960,DATE,72,76,ruler_before_ner
23,impact,more than 1 meter,QUANTITY,108,125,ruler_before_ner
23,impact,the Jordan River,LOC,172,188,ruler_before_ner
23,impact,"7,000",CARDINAL,287,292,ruler_before_ner
23,impact,Jordan,GPE,390,396,ruler_before_ner
23,impact,the West Bank,GPE,401,414,ruler_before_ner
24,impact,Mediterranean,LOC,0,13,ruler_before_ner
24,impact,the summer of 2023,DATE,27,45,ruler_before_ner
24,impact,"400,000",CARDINAL,58,65,ruler_before_ner
24,impact,Greece,GPE,82,88,ruler_before_ner
24,impact,Turkey,GPE,90,96,ruler_before_ner
24,impact,Algeria,GPE,98,105,ruler_before_ner
24,impact,Tunisia,GPE,111,118,ruler_before_ner
24,impact,48 degrees,QUANTITY,143,153,ruler_before_ner
24,impact,Sicily,GPE,165,171,ruler_before_ner
24,impact,European,NORP,182,190,ruler_before_ner
24,impact,"20,000",CARDINAL,224,230,ruler_before_ner
24,impact,an estimated $3.5 billion,MONEY,249,274,ruler_before_ner
24,impact,Mediterranean,LOC,336,349,ruler_before_ner
24,impact,40 days,DATE,368,375,ruler_before_ner
24,impact,the 1980s,DATE,382,391,ruler_before_ner
