language,model,example_rank,text_id,category,source,entity_text,entity_label,score
ar,HF:Davlan/xlm-roberta-base-wikiann-ner,1,102,impact,مرصد مناخ البحر الأبيض المتوسط,اليونان,LOC,0.9999020099639893
ar,HF:Davlan/xlm-roberta-base-wikiann-ner,2,166,policy,تقرير المنتدى العربي للبيئة والتنمية,المنتدى العربي للبيئة والتنمية,ORG,0.9999197125434875
ar,HF:Davlan/xlm-roberta-base-wikiann-ner,3,97,impact,تقرير إسناد الطقس العالمي,دان,PER,0.6460248231887817
ar,spaCy:xx_ent_wiki_sm,1,79,policy,ملخص تقرير الهيئة الحكومية الدولية,وأكد التقرير,PER,
ar,spaCy:xx_ent_wiki_sm,2,84,policy,نشرة التنظيمات المناخية الأوروبية,وتهدف,MISC,
ar,spaCy:xx_ent_wiki_sm,3,84,policy,نشرة التنظيمات المناخية الأوروبية,دول,ORG,
en,HF:Davlan/xlm-roberta-base-wikiann-ner,1,177,impact,ILO Heat Stress Report,Saudi Arabia,LOC,0.999869704246521
en,HF:Davlan/xlm-roberta-base-wikiann-ner,2,129,science,Earth's Future Journal,Earth's Future,ORG,0.9998864531517029
en,HF:Davlan/xlm-roberta-base-wikiann-ner,3,171,adaptation,AgriTech Climate Report,support,PER,0.5227399468421936
en,spaCy:xx_ent_wiki_sm,1,9,policy,Green Climate Fund Dispatch,Songdo,LOC,
en,spaCy:xx_ent_wiki_sm,2,31,impact,National Hurricane Center,Hurricane Otis,MISC,
en,spaCy:xx_ent_wiki_sm,3,9,policy,Green Climate Fund Dispatch,Green Climate Fund,ORG,
