text_id,language,category,source,text_snippet,spacy_entity_count,hf_entity_count,shared_entities,spacy_only_entities,hf_only_entities,spacy_entities,hf_entities,qualitative_note
103,ar,adaptation,جريدة الأردن تايمز,"افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجمالي قدرة الطاقة المتجددة في البلاد إلى 2,400 ميغاواط. ويهدف الأردن إلى توليد 50% من الكهرباء من مصادر متجددة بحلول عام 2030. وتوفر المحطة الكهرباء لنحو 110,000 ",0,5,None,None,الأردن (LOC) | المفرق (LOC) | المملكة الأردنية (LOC) | الهاشمية (ORG) | محطة طاقة شمسية (ORG),None,المملكة الأردنية (LOC) | الهاشمية (ORG) | محطة طاقة شمسية (ORG) | المفرق (LOC) | الأردن (LOC),Arabic coverage gap: HF found entities while spaCy found none.
111,ar,adaptation,خطة التكيف المناخي لسنغافورة,تتضمن استراتيجية التكيف الوطنية لسنغافورة استثماراً بقيمة 72 مليار دولار على مدى 100 عام في البنية التحتية لحماية السواحل. وتخطط المدينة لرفع مستوى الأراضي بما يصل إلى 4 أمتار في المناطق المنخفضة وبناء شبكة من الجدران البحرية وبوابات المد.,0,1,None,None,استراتيجية التكيف الوطنية لسنغافورة (ORG),None,استراتيجية التكيف الوطنية لسنغافورة (ORG),Arabic coverage gap: HF found entities while spaCy found none.
114,ar,adaptation,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,أطلقت مدينة المدينة المنورة مبادرة التبريد الحضري في عام 2023 باستخدام أسطح طرق عاكسة وتوسيع الغطاء الشجري. ويستهدف المشروع خفض درجات حرارة السطح بمقدار 3 درجات مئوية في منطقة الحج المركزية بحلول عام 2027. وتخصص المملكة العربية السعودية ملياري دولار للتخفيف من,2,4,None,درجات مئوية (PER) | ويستهدف (PER),التبريد الحضري (ORG) | المملكة العربية السعودية (LOC) | مدينة المدينة المنورة (LOC) | منطقة الحج المركزية (ORG),ويستهدف (PER) | درجات مئوية (PER),مدينة المدينة المنورة (LOC) | التبريد الحضري (ORG) | منطقة الحج المركزية (ORG) | المملكة العربية السعودية (LOC),Arabic model difference: HF found substantially more entities than spaCy.
153,ar,adaptation,تقرير الجمعية الملكية لحماية الطبيعة,أنشأت المملكة الأردنية الهاشمية أكبر محمية طبيعية للأراضي الرطبة في المنطقة في محمية الأزرق المائية، بالتعاون مع الجمعية الملكية لحماية الطبيعة. وتعمل المحمية على استعادة النظام البيئي للواحة التي كانت مهددة بالجفاف التام بسبب الضخ المفرط للمياه الجوفية. ونجحت,1,4,None,ونجحت (PER),الأردنية الهاشمية (ORG) | الجمعية الملكية لحماية الطبيعة (ORG) | المملكة (LOC) | محمية الأزرق المائية (LOC),ونجحت (PER),المملكة (LOC) | الأردنية الهاشمية (ORG) | محمية الأزرق المائية (LOC) | الجمعية الملكية لحماية الطبيعة (ORG),Arabic model difference: HF found substantially more entities than spaCy.
163,ar,adaptation,تقرير الطاقة الإماراتي,"أنجزت دولة الإمارات العربية المتحدة محطة براكة للطاقة النووية بقدرة 5,600 ميغاواط، لتصبح أول دولة عربية تشغل محطة نووية للأغراض السلمية. وتوفر المحطة 25% من احتياجات الدولة من الكهرباء وتجنب انبعاث 21 مليون طن من ثاني أكسيد الكربون سنوياً. وتعتبر الطاقة النووي",0,5,None,None,الإمارات العربية المتحدة (LOC) | اني أكسيد الكربون (ORG) | ث (ORG) | دولة (LOC) | محطة براكة للطاقة النووية (ORG),None,دولة (LOC) | الإمارات العربية المتحدة (LOC) | محطة براكة للطاقة النووية (ORG) | ث (ORG) | اني أكسيد الكربون (ORG),Arabic coverage gap: HF found entities while spaCy found none.
94,ar,impact,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً. وأدى تغير المناخ وتقلص هطول الأمطار وتحويل مياه نهر الأردن للزراعة إلى تسارع هذا التدهور. وظهر أكثر من 7000 حفرة انهدامية على طول الشاطئ المتراجع، مما ألحق أض,0,2,None,None,البحر الميت (LOC) | نهر الأردن (LOC),None,البحر الميت (LOC) | نهر الأردن (LOC),Arabic coverage gap: HF found entities while spaCy found none.
95,ar,impact,جريدة الأردن تايمز,شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 يوماً منفصلاً بين يونيو وأغسطس. وأفادت دائرة الأرصاد الجوية الأردنية أن متوسط درجات حرارة الصيف ارتفع بمقدار 2.1 درجة مئوية منذ عام 1970. وزادت حالات الدخول إلى,1,1,None,وأفادت دائرة (PER),دائرة الأرصاد الجوية الأردنية (ORG),وأفادت دائرة (PER),دائرة الأرصاد الجوية الأردنية (ORG),Model outputs differ; inspect examples for boundary/type differences.
97,ar,impact,تقرير إسناد الطقس العالمي,"تسببت الفيضانات المفاجئة في درنة بليبيا في سبتمبر 2023 في مقتل أكثر من 11,000 شخص وتشريد 40,000 آخرين عندما أدت العاصفة دانيال إلى انهيار سدين. وقُدرت كمية الأمطار بنحو 414 مليمتراً في 24 ساعة، وهو ما يتجاوز بكثير المعدل السنوي البالغ 270 مليمتراً.",1,2,None,وقُدرت (MISC),دان (PER) | درنة بليبيا (LOC),وقُدرت (MISC),درنة بليبيا (LOC) | دان (PER),Arabic model difference: HF found substantially more entities than spaCy.
99,ar,impact,نشرة أبحاث المناخ الأفريقي,ازدادت العواصف الرملية القادمة من الصحراء الكبرى بنسبة 25% منذ عام 2000. وتحمل هذه العواصف جسيمات دقيقة عبر البحر الأبيض المتوسط إلى جنوب أوروبا، مما يسبب أزمات صحية في الجهاز التنفسي ويقلل كفاءة الألواح الشمسية بنسبة تصل إلى 30%. وفي مارس 2024، وصلت رواسب الغ,1,4,None,وتحمل (LOC),البحر الأبيض المتوسط (LOC) | الصحراء الكبرى (LOC) | جنوب أوروبا (LOC) | شمال الدول الإسكندنافية (LOC),وتحمل (LOC),الصحراء الكبرى (LOC) | البحر الأبيض المتوسط (LOC) | جنوب أوروبا (LOC) | شمال الدول الإسكندنافية (LOC),Arabic model difference: HF found substantially more entities than spaCy.
102,ar,impact,مرصد مناخ البحر الأبيض المتوسط,"التهمت حرائق الغابات في حوض البحر الأبيض المتوسط صيف 2023 أكثر من 400,000 هكتار في اليونان وتركيا والجزائر وتونس. وتجاوزت درجات الحرارة 48 درجة مئوية في صقلية مسجلة رقماً قياسياً أوروبياً جديداً. وأدت الحرائق إلى تشريد أكثر من 20,000 شخص وتسببت في أضرار تقدر ب",2,10,None,جديداً. (MISC) | وتجاوزت درجات (PER),ائر (LOC) | اليونان (LOC) | أو (LOC) | تشريد (LOC) | تون (LOC) | جز (LOC) | حوض البحر الأبيض المتوسط (LOC) | س (LOC) | وترك (LOC) | يا (LOC),وتجاوزت درجات (PER) | جديداً. (MISC),حوض البحر الأبيض المتوسط (LOC) | اليونان (LOC) | وترك (LOC) | يا (LOC) | جز (LOC) | ائر (LOC) | تون (LOC) | س (LOC) | أو (LOC) | تشريد (LOC),Arabic model difference: HF found substantially more entities than spaCy.
