system,text_id,category,entity_text,entity_label,start_char,end_char,context_snippet
ruler_before_ner,5,policy,Paris Agreement,AGREEMENT,191,206,"June 2024, emphasizing that current nationally determined contributions fall short of the Paris Agreement targets. He called for enhanced ambition in the next round of NDCs due by February 2025 and stressed the importance of loss and d"
ruler_before_ner,7,policy,Paris Agreement,AGREEMENT,362,377,ace of decarbonization and the scale of climate finance required to meet the goals of the Paris Agreement.
ruler_before_ner,10,policy,Paris Agreement,AGREEMENT,225,240,"he bilateral talks produced a joint statement reaffirming both nations' commitment to the Paris Agreement and announcing cooperative efforts on methane reduction, deforestation, and clean energy deployment. The statement was seen as a "
ruler_before_ner,52,policy,Kigali Amendment,AGREEMENT,4,20,"The Kigali Amendment to the Montreal Protocol, which entered into force in January 2019, mandates an 80% reduction in hydrofluorocarbon production and"
ruler_before_ner,52,policy,Montreal Protocol,AGREEMENT,28,45,"The Kigali Amendment to the Montreal Protocol, which entered into force in January 2019, mandates an 80% reduction in hydrofluorocarbon production and consumption by 2047. HFC"
ruler_before_ner,2,policy,COP28,CLIMATE_EVENT,3,8,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. The United Arab Emirates presidency bro"
ruler_before_ner,5,policy,Bonn Climate Change Conference,CLIMATE_EVENT,67,97,"UNFCCC Executive Secretary Simon Stiell addressed delegates at the Bonn Climate Change Conference in June 2024, emphasizing that current nationally determined contributions fall short of the Paris Agreement targets. He called f"
ruler_before_ner,7,policy,Climate Ambition Summit,CLIMATE_EVENT,66,89,"In September 2023, the United Nations General Assembly hosted the Climate Ambition Summit in New York, where only nations with credible new climate commitments were invited to speak. The summit highlighted a growing div"
ruler_before_ner,10,policy,COP28,CLIMATE_EVENT,395,400,"tation, and clean energy deployment. The statement was seen as a positive signal ahead of COP28."
ruler_before_ner,47,policy,COP26,CLIMATE_EVENT,274,279,"ity of GDP by 45% from 2005 levels. Prime Minister Narendra Modi announced the targets at COP26 in Glasgow in November 2021, alongside a net-zero target of 2070."
ruler_before_ner,9,policy,Green Climate Fund,CLIMATE_FUND,4,22,"The Green Climate Fund approved $1.2 billion in new project funding during its October 2023 board meeting in Songdo, South Korea. Approved projects incl"
ruler_before_ner,48,policy,Loss and Damage Fund,CLIMATE_FUND,4,24,"The Loss and Damage Fund, established at COP27 in Sharm el-Sheikh and operationalized at COP28, received initial pledges totaling $792 million. Germany an"
ruler_before_ner,5,policy,nationally determined contributions,POLICY,137,172,"ed delegates at the Bonn Climate Change Conference in June 2024, emphasizing that current nationally determined contributions fall short of the Paris Agreement targets. He called for enhanced ambition in the next round of NDCs due by February 2025 and str"
