id,text,source,language,category
103,"افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجمالي قدرة الطاقة المتجددة في البلاد إلى 2,400 ميغاواط. ويهدف الأردن إلى توليد 50% من الكهرباء من مصادر متجددة بحلول عام 2030. وتوفر المحطة الكهرباء لنحو 110,000 أسرة.",جريدة الأردن تايمز,ar,adaptation
111,تتضمن استراتيجية التكيف الوطنية لسنغافورة استثماراً بقيمة 72 مليار دولار على مدى 100 عام في البنية التحتية لحماية السواحل. وتخطط المدينة لرفع مستوى الأراضي بما يصل إلى 4 أمتار في المناطق المنخفضة وبناء شبكة من الجدران البحرية وبوابات المد.,خطة التكيف المناخي لسنغافورة,ar,adaptation
114,أطلقت مدينة المدينة المنورة مبادرة التبريد الحضري في عام 2023 باستخدام أسطح طرق عاكسة وتوسيع الغطاء الشجري. ويستهدف المشروع خفض درجات حرارة السطح بمقدار 3 درجات مئوية في منطقة الحج المركزية بحلول عام 2027. وتخصص المملكة العربية السعودية ملياري دولار للتخفيف من الحرارة في المدن.,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,ar,adaptation
153,أنشأت المملكة الأردنية الهاشمية أكبر محمية طبيعية للأراضي الرطبة في المنطقة في محمية الأزرق المائية، بالتعاون مع الجمعية الملكية لحماية الطبيعة. وتعمل المحمية على استعادة النظام البيئي للواحة التي كانت مهددة بالجفاف التام بسبب الضخ المفرط للمياه الجوفية. ونجحت جهود الترميم في رفع مستوى المياه بمقدار 1.5 متر منذ عام 2018.,تقرير الجمعية الملكية لحماية الطبيعة,ar,adaptation
163,"أنجزت دولة الإمارات العربية المتحدة محطة براكة للطاقة النووية بقدرة 5,600 ميغاواط، لتصبح أول دولة عربية تشغل محطة نووية للأغراض السلمية. وتوفر المحطة 25% من احتياجات الدولة من الكهرباء وتجنب انبعاث 21 مليون طن من ثاني أكسيد الكربون سنوياً. وتعتبر الطاقة النووية جزءاً أساسياً من استراتيجية التنويع الطاقوي للدولة.",تقرير الطاقة الإماراتي,ar,adaptation
94,فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً. وأدى تغير المناخ وتقلص هطول الأمطار وتحويل مياه نهر الأردن للزراعة إلى تسارع هذا التدهور. وظهر أكثر من 7000 حفرة انهدامية على طول الشاطئ المتراجع، مما ألحق أضراراً بالطرق والمزارع والمنشآت السياحية.,تقرير البيئة في منطقة الشرق الأوسط وشمال أفريقيا,ar,impact
95,شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 يوماً منفصلاً بين يونيو وأغسطس. وأفادت دائرة الأرصاد الجوية الأردنية أن متوسط درجات حرارة الصيف ارتفع بمقدار 2.1 درجة مئوية منذ عام 1970. وزادت حالات الدخول إلى المستشفيات بسبب الحرارة بنسبة 35%.,جريدة الأردن تايمز,ar,impact
97,"تسببت الفيضانات المفاجئة في درنة بليبيا في سبتمبر 2023 في مقتل أكثر من 11,000 شخص وتشريد 40,000 آخرين عندما أدت العاصفة دانيال إلى انهيار سدين. وقُدرت كمية الأمطار بنحو 414 مليمتراً في 24 ساعة، وهو ما يتجاوز بكثير المعدل السنوي البالغ 270 مليمتراً.",تقرير إسناد الطقس العالمي,ar,impact
99,ازدادت العواصف الرملية القادمة من الصحراء الكبرى بنسبة 25% منذ عام 2000. وتحمل هذه العواصف جسيمات دقيقة عبر البحر الأبيض المتوسط إلى جنوب أوروبا، مما يسبب أزمات صحية في الجهاز التنفسي ويقلل كفاءة الألواح الشمسية بنسبة تصل إلى 30%. وفي مارس 2024، وصلت رواسب الغبار إلى شمال الدول الإسكندنافية.,نشرة أبحاث المناخ الأفريقي,ar,impact
102,"التهمت حرائق الغابات في حوض البحر الأبيض المتوسط صيف 2023 أكثر من 400,000 هكتار في اليونان وتركيا والجزائر وتونس. وتجاوزت درجات الحرارة 48 درجة مئوية في صقلية مسجلة رقماً قياسياً أوروبياً جديداً. وأدت الحرائق إلى تشريد أكثر من 20,000 شخص وتسببت في أضرار تقدر بنحو 3.5 مليار دولار.",مرصد مناخ البحر الأبيض المتوسط,ar,impact
79,أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن العالم يتجه نحو تجاوز عتبة 1.5 درجة مئوية بحلول عام 2030. وأكد التقرير أن الحد من الاحترار يتطلب خفض الانبعاثات العالمية بنسبة 43% بحلول عام 2030 مقارنة بمستويات عام 2019، وهو هدف يستلزم تحولاً جذرياً في أنظمة الطاقة والنقل والصناعة.,ملخص تقرير الهيئة الحكومية الدولية,ar,policy
